,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
2700,1634293,"Exceed World, Inc.",10-K,20180102,edgar/data/1634293/0001599916-18-000002.txt,edgar/data/1634293/0001599916-18-000002,https://www.sec.gov/Archives/edgar/data/1634293/0001599916-18-000002-index.htm
4066,863894,VERU INC.,10-K,20180102,edgar/data/863894/0001562762-17-000231.txt,edgar/data/863894/0001562762-17-000231,https://www.sec.gov/Archives/edgar/data/863894/0001562762-17-000231-index.htm
1236,1158420,CHINA HGS REAL ESTATE INC.,10-K,20180103,edgar/data/1158420/0001144204-18-000327.txt,edgar/data/1158420/0001144204-18-000327,https://www.sec.gov/Archives/edgar/data/1158420/0001144204-18-000327-index.htm
5524,1614106,"American Renaissance Capital, Inc.",10-K,20180103,edgar/data/1614106/0001614106-18-000003.txt,edgar/data/1614106/0001614106-18-000003,https://www.sec.gov/Archives/edgar/data/1614106/0001614106-18-000003-index.htm
5551,1617351,LEPOTA INC,10-K,20180103,edgar/data/1617351/0001617351-18-000002.txt,edgar/data/1617351/0001617351-18-000002,https://www.sec.gov/Archives/edgar/data/1617351/0001617351-18-000002-index.htm
2078,1394638,CREATIVE LEARNING Corp,10-K,20180104,edgar/data/1394638/0001615774-18-000094.txt,edgar/data/1394638/0001615774-18-000094,https://www.sec.gov/Archives/edgar/data/1394638/0001615774-18-000094-index.htm
1793,1589150,Regen BioPharma Inc,10-K,20180105,edgar/data/1589150/0001607062-18-000006.txt,edgar/data/1589150/0001607062-18-000006,https://www.sec.gov/Archives/edgar/data/1589150/0001607062-18-000006-index.htm
2697,315374,HURCO COMPANIES INC,10-K,20180105,edgar/data/315374/0001144204-18-001087.txt,edgar/data/315374/0001144204-18-001087,https://www.sec.gov/Archives/edgar/data/315374/0001144204-18-001087-index.htm
3367,904979,SHILOH INDUSTRIES INC,10-K,20180105,edgar/data/904979/0000904979-18-000006.txt,edgar/data/904979/0000904979-18-000006,https://www.sec.gov/Archives/edgar/data/904979/0000904979-18-000006-index.htm
840,1342423,Limoneira CO,10-K,20180108,edgar/data/1342423/0001144204-18-001288.txt,edgar/data/1342423/0001144204-18-001288,https://www.sec.gov/Archives/edgar/data/1342423/0001144204-18-001288-index.htm
